Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Family_Size,is_alone,Age_x_Pclass,FarePerPerson,AgeGroup,FamilySize,AgeFareRatio,IsChild,IsRich
1,3,0,38.0,1,5,31.3875,0,7,0,114.0,4.483928571428572,3,7,1.1732921651871864,0,1
0,3,1,28.0,0,0,7.225,1,1,1,84.0,7.225,2,1,3.404255319148936,0,0
0,1,1,19.0,3,2,263.0,0,6,0,19.0,43.833333333333336,2,6,0.07196969696969698,0,1
1,3,0,28.0,0,0,7.8792,2,1,1,84.0,7.8792,2,1,3.1534372465987923,0,0
0,3,1,28.0,0,0,7.8958,0,1,1,84.0,7.8958,2,1,3.147552777715326,0,0
0,1,1,40.0,0,0,27.7208,1,1,1,40.0,27.7208,3,1,1.3927188657697558,0,1
1,1,0,28.0,1,0,146.5208,1,2,0,28.0,73.2604,2,2,0.18980374292981056,0,1
1,3,0,28.0,0,0,7.75,2,1,1,84.0,7.75,2,1,3.2,0,0
0,2,1,66.0,0,0,10.5,0,1,1,132.0,10.5,4,1,5.739130434782608,0,0
0,1,1,28.0,1,0,82.1708,1,2,0,28.0,41.0854,2,2,0.33665661506201694,0,1
0,1,1,42.0,1,0,52.0,0,2,0,42.0,26.0,3,2,0.7924528301886793,0,1
1,3,1,28.0,0,0,7.2292,1,1,1,84.0,7.2292,2,1,3.4025178632187822,0,0
0,3,1,21.0,0,0,8.05,0,1,1,63.0,8.05,2,1,2.320441988950276,0,0
0,3,0,18.0,2,0,18.0,0,3,0,54.0,6.0,1,3,0.9473684210526315,0,1
1,3,0,14.0,1,0,11.2417,1,2,0,42.0,5.62085,1,2,1.1436320118937728,1,0
0,3,0,40.0,1,0,9.475,0,2,0,120.0,4.7375,3,2,3.8186157517899764,0,0
0,2,0,27.0,1,0,21.0,0,2,0,54.0,10.5,2,2,1.2272727272727273,0,1
0,3,1,28.0,0,0,7.8958,1,1,1,84.0,7.8958,2,1,3.147552777715326,0,0
1,2,0,3.0,1,2,41.5792,1,4,0,6.0,10.3948,0,4,0.07045693672027657,1,1
1,3,0,19.0,0,0,7.8792,2,1,1,57.0,7.8792,2,1,2.139832417334895,0,0
0,3,1,28.0,0,0,8.05,0,1,1,84.0,8.05,2,1,3.0939226519337013,0,0
0,3,1,28.0,1,0,15.5,2,2,0,84.0,7.75,2,2,1.696969696969697,0,1
1,3,0,28.0,0,0,7.75,2,1,1,84.0,7.75,2,1,3.2,0,0
0,3,1,28.0,2,0,21.6792,1,3,0,84.0,7.226400000000001,2,3,1.2346114501393346,0,1
0,3,0,18.0,1,0,17.8,0,2,0,54.0,8.9,1,2,0.9574468085106382,0,1
0,3,1,7.0,4,1,39.6875,0,6,0,21.0,6.614583333333333,0,6,0.17204301075268819,1,1
0,3,1,21.0,0,0,7.8,0,1,1,63.0,7.8,2,1,2.3863636363636362,0,0
1,1,0,49.0,1,0,76.7292,1,2,0,49.0,38.3646,3,2,0.630393725909954,0,1
1,2,0,29.0,1,0,26.0,0,2,0,58.0,13.0,2,2,1.0740740740740742,0,1
0,1,1,65.0,0,1,61.9792,1,2,0,65.0,30.9896,4,2,1.0320867842081196,0,1
1,1,1,28.0,0,0,35.5,0,1,1,28.0,35.5,2,1,0.7671232876712328,0,1
1,2,0,21.0,0,0,10.5,0,1,1,42.0,10.5,2,1,1.826086956521739,0,0
0,3,1,28.5,0,0,7.2292,1,1,1,85.5,7.2292,2,1,3.4632771107762608,0,0
1,2,0,5.0,1,2,27.75,0,4,0,10.0,6.9375,0,4,0.17391304347826086,1,1
0,3,1,11.0,5,2,46.9,0,8,0,33.0,5.8625,0,8,0.22964509394572025,1,1
0,3,1,22.0,0,0,7.2292,1,1,1,66.0,7.2292,2,1,2.6734068925290435,0,0
1,1,0,38.0,0,0,80.0,0,1,1,38.0,80.0,3,1,0.4691358024691358,0,1
0,1,1,45.0,1,0,83.475,0,2,0,45.0,41.7375,3,2,0.5327019828351583,0,1
0,3,1,4.0,3,2,27.9,0,6,0,12.0,4.6499999999999995,0,6,0.1384083044982699,1,1
0,1,1,28.0,0,0,27.7208,1,1,1,28.0,27.7208,2,1,0.974903206038829,0,1
1,3,1,28.0,1,1,15.2458,1,3,0,84.0,5.081933333333333,2,3,1.723522387324724,0,1
1,2,0,29.0,0,0,10.5,0,1,1,58.0,10.5,2,1,2.5217391304347827,0,0
0,3,1,19.0,0,0,8.1583,0,1,1,57.0,8.1583,2,1,2.074620835744625,0,0
1,3,0,17.0,4,2,7.925,0,7,0,51.0,1.1321428571428571,1,7,1.9047619047619047,0,0
0,3,1,26.0,2,0,8.6625,0,3,0,78.0,2.8874999999999997,2,3,2.690815006468305,0,0
0,2,1,32.0,0,0,10.5,0,1,1,64.0,10.5,2,1,2.782608695652174,0,0
0,3,0,16.0,5,2,46.9,0,8,0,48.0,5.8625,1,8,0.33402922755741127,0,1
0,2,1,21.0,0,0,73.5,0,1,1,42.0,73.5,2,1,0.28187919463087246,0,1
0,3,1,26.0,1,0,14.4542,1,2,0,78.0,7.2271,2,2,1.6823905475534158,0,0
1,3,1,32.0,0,0,56.4958,0,1,1,96.0,56.4958,2,1,0.5565623923834436,0,1
0,3,1,25.0,0,0,7.65,0,1,1,75.0,7.65,2,1,2.890173410404624,0,0
0,3,1,28.0,0,0,7.8958,0,1,1,84.0,7.8958,2,1,3.147552777715326,0,0
0,3,1,28.0,0,0,8.05,0,1,1,84.0,8.05,2,1,3.0939226519337013,0,0
1,2,1,0.83,0,2,29.0,0,3,0,1.66,9.666666666666666,0,3,0.027666666666666666,1,1
1,3,0,30.0,0,0,12.475,0,1,1,90.0,12.475,2,1,2.226345083487941,0,0
0,3,1,22.0,0,0,9.0,0,1,1,66.0,9.0,2,1,2.2,0,0
1,3,1,29.0,0,0,9.5,0,1,1,87.0,9.5,2,1,2.761904761904762,0,0
1,3,0,28.0,0,0,7.7875,2,1,1,84.0,7.7875,2,1,3.186344238975818,0,0
0,1,1,28.0,0,0,47.1,0,1,1,28.0,47.1,2,1,0.5821205821205822,0,1
1,2,0,17.0,0,0,10.5,0,1,1,34.0,10.5,1,1,1.4782608695652173,0,0
1,3,0,33.0,3,0,15.85,0,4,0,99.0,3.9625,2,4,1.9584569732937684,0,1
0,3,1,16.0,1,3,34.375,0,5,0,48.0,6.875,1,5,0.45229681978798586,0,1
0,3,1,28.0,0,0,8.05,0,1,1,84.0,8.05,2,1,3.0939226519337013,0,0
1,1,0,23.0,3,2,263.0,0,6,0,23.0,43.833333333333336,2,6,0.08712121212121213,0,1
0,3,1,24.0,0,0,8.05,0,1,1,72.0,8.05,2,1,2.6519337016574585,0,0
0,3,1,29.0,0,0,8.05,0,1,1,87.0,8.05,2,1,3.2044198895027622,0,0
0,3,1,20.0,0,0,7.8542,0,1,1,60.0,7.8542,2,1,2.258815025637551,0,0
0,1,1,46.0,1,0,61.175,0,2,0,46.0,30.5875,3,2,0.7398472054684359,0,1
0,3,1,26.0,1,2,20.575,0,4,0,78.0,5.14375,2,4,1.205098493626883,0,1
0,3,1,59.0,0,0,7.25,0,1,1,177.0,7.25,3,1,7.151515151515151,0,0
0,3,1,28.0,0,0,8.05,0,1,1,84.0,8.05,2,1,3.0939226519337013,0,0
0,1,1,71.0,0,0,34.6542,1,1,1,71.0,34.6542,4,1,1.9913502476566574,0,1
1,1,1,23.0,0,1,63.3583,1,2,0,23.0,31.67915,2,2,0.3573742625271333,0,1
1,2,0,34.0,0,1,23.0,0,2,0,68.0,11.5,2,2,1.4166666666666667,0,1
0,2,1,34.0,1,0,26.0,0,2,0,68.0,13.0,2,2,1.2592592592592593,0,1
0,3,0,28.0,0,0,7.8958,0,1,1,84.0,7.8958,2,1,3.147552777715326,0,0
0,3,1,28.0,0,0,7.8958,0,1,1,84.0,7.8958,2,1,3.147552777715326,0,0
0,1,1,21.0,0,1,77.2875,0,2,0,21.0,38.64375,2,2,0.2682420565224334,0,1
0,3,1,33.0,0,0,8.6542,0,1,1,99.0,8.6542,2,1,3.418201404570032,0,0
0,3,1,37.0,2,0,7.925,0,3,0,111.0,2.6416666666666666,3,3,4.145658263305322,0,0
0,3,1,28.0,0,0,7.8958,0,1,1,84.0,7.8958,2,1,3.147552777715326,0,0
1,3,0,21.0,0,0,7.65,0,1,1,63.0,7.65,2,1,2.4277456647398843,0,0
1,3,1,28.0,0,0,7.775,0,1,1,84.0,7.775,2,1,3.190883190883191,0,0
0,3,1,38.0,0,0,7.8958,0,1,1,114.0,7.8958,3,1,4.271678769756513,0,0
1,3,0,28.0,1,0,24.15,2,2,0,84.0,12.075,2,2,1.1133200795228628,0,1
0,1,1,47.0,0,0,52.0,0,1,1,47.0,52.0,3,1,0.8867924528301887,0,1
0,3,0,14.5,1,0,14.4542,1,2,0,43.5,7.2271,1,2,0.9382562669047896,1,0
0,3,1,22.0,0,0,8.05,0,1,1,66.0,8.05,2,1,2.430939226519337,0,0
0,3,0,20.0,1,0,9.825,0,2,0,60.0,4.9125,2,2,1.8475750577367207,0,0
0,3,0,17.0,0,0,14.4583,1,1,1,51.0,14.4583,1,1,1.0997328296125706,0,1
0,3,1,21.0,0,0,7.925,0,1,1,63.0,7.925,2,1,2.352941176470588,0,0
0,3,1,70.5,0,0,7.75,2,1,1,211.5,7.75,4,1,8.057142857142857,0,0
0,2,1,29.0,1,0,21.0,0,2,0,58.0,10.5,2,2,1.3181818181818181,0,1
0,1,1,24.0,0,1,247.5208,1,2,0,24.0,123.7604,2,2,0.09657139362178135,0,1
0,3,0,2.0,4,2,31.275,0,7,0,6.0,4.4678571428571425,0,7,0.061967467079783116,1,1
0,2,1,21.0,2,0,73.5,0,3,0,42.0,24.5,2,3,0.28187919463087246,0,1
0,3,1,28.0,0,0,8.05,0,1,1,84.0,8.05,2,1,3.0939226519337013,0,0
0,2,1,32.5,1,0,30.0708,1,2,0,65.0,15.0354,2,2,1.045998171917041,0,1
1,2,0,32.5,0,0,13.0,0,1,1,65.0,13.0,2,1,2.3214285714285716,0,0
0,1,1,54.0,0,1,77.2875,0,2,0,54.0,38.64375,3,2,0.689765288200543,0,1
1,3,1,12.0,1,0,11.2417,1,2,0,36.0,5.62085,0,2,0.9802560101946626,1,0
0,3,1,28.0,0,0,7.75,2,1,1,84.0,7.75,2,1,3.2,0,0
1,3,1,24.0,0,0,7.1417,0,1,1,72.0,7.1417,2,1,2.947787317145068,0,0
1,3,0,28.0,1,1,22.3583,1,3,0,84.0,7.452766666666666,2,3,1.1987173724115197,0,1
0,3,1,45.0,0,0,6.975,0,1,1,135.0,6.975,3,1,5.6426332288401255,0,0
0,3,1,33.0,0,0,7.8958,1,1,1,99.0,7.8958,2,1,3.7096157737359197,0,0
0,3,1,20.0,0,0,7.05,0,1,1,60.0,7.05,2,1,2.484472049689441,0,0
0,3,0,47.0,1,0,14.5,0,2,0,141.0,7.25,3,2,3.032258064516129,0,1
1,2,0,29.0,1,0,26.0,0,2,0,58.0,13.0,2,2,1.0740740740740742,0,1
0,2,1,25.0,0,0,13.0,0,1,1,50.0,13.0,2,1,1.7857142857142858,0,0
0,2,1,23.0,0,0,15.0458,1,1,1,46.0,15.0458,2,1,1.433396901369829,0,1
1,1,0,19.0,0,2,26.2833,0,3,0,19.0,8.7611,2,3,0.6963966968805093,0,1
0,1,1,37.0,1,0,53.1,0,2,0,37.0,26.55,3,2,0.6839186691312384,0,1
0,3,1,16.0,0,0,9.2167,0,1,1,48.0,9.2167,1,1,1.56606340599215,0,0
0,1,1,24.0,0,0,79.2,1,1,1,24.0,79.2,2,1,0.29925187032418954,0,1
0,3,0,28.0,0,2,15.2458,1,3,0,84.0,5.081933333333333,2,3,1.723522387324724,0,1
1,3,0,22.0,0,0,7.75,0,1,1,66.0,7.75,2,1,2.5142857142857142,0,0
1,3,0,24.0,1,0,15.85,0,2,0,72.0,7.925,2,2,1.4243323442136497,0,1
0,3,1,19.0,0,0,6.75,2,1,1,57.0,6.75,2,1,2.4516129032258065,0,0
0,2,1,18.0,0,0,11.5,0,1,1,36.0,11.5,1,1,1.44,0,0
0,2,1,19.0,1,1,36.75,0,3,0,38.0,12.25,2,3,0.5033112582781457,0,1
1,3,1,27.0,0,0,7.7958,0,1,1,81.0,7.7958,2,1,3.0696468769185294,0,0
0,3,0,9.0,2,2,34.375,0,5,0,27.0,6.875,0,5,0.254416961130742,1,1
0,2,1,36.5,0,2,26.0,0,3,0,73.0,8.666666666666666,3,3,1.3518518518518519,0,1
0,2,1,42.0,0,0,13.0,0,1,1,84.0,13.0,3,1,3.0,0,0
0,2,1,51.0,0,0,12.525,0,1,1,102.0,12.525,3,1,3.7707948243992604,0,0
1,1,0,22.0,1,0,66.6,0,2,0,22.0,33.3,2,2,0.3254437869822486,0,1
0,3,1,55.5,0,0,8.05,0,1,1,166.5,8.05,3,1,6.132596685082873,0,0
0,3,1,40.5,0,2,14.5,0,3,0,121.5,4.833333333333333,3,3,2.6129032258064515,0,1
0,3,1,28.0,0,0,7.3125,0,1,1,84.0,7.3125,2,1,3.3684210526315788,0,0
0,1,1,51.0,0,1,61.3792,1,2,0,51.0,30.6896,3,2,0.8175802190473748,0,1
1,3,0,16.0,0,0,7.7333,2,1,1,48.0,7.7333,1,1,1.8320680613284783,0,0
0,3,1,30.0,0,0,8.05,0,1,1,90.0,8.05,2,1,3.3149171270718227,0,0
0,3,1,28.0,0,0,8.6625,0,1,1,84.0,8.6625,2,1,2.8978007761966365,0,0
0,3,1,28.0,8,2,69.55,0,11,0,84.0,6.322727272727272,2,11,0.39688164422395467,0,1
0,3,1,44.0,0,1,16.1,0,2,0,132.0,8.05,3,2,2.573099415204678,0,1
1,2,0,40.0,0,0,15.75,0,1,1,80.0,15.75,3,1,2.388059701492537,0,1
0,3,1,26.0,0,0,7.775,0,1,1,78.0,7.775,2,1,2.962962962962963,0,0
0,3,1,17.0,0,0,8.6625,0,1,1,51.0,8.6625,1,1,1.7593790426908151,0,0
0,3,1,1.0,4,1,39.6875,0,6,0,3.0,6.614583333333333,0,6,0.02457757296466974,1,1
1,3,1,9.0,0,2,20.525,0,3,0,27.0,6.841666666666666,0,3,0.4181184668989547,1,1
1,1,0,28.0,0,1,55.0,0,2,0,28.0,27.5,2,2,0.5,0,1
0,3,0,45.0,1,4,27.9,0,6,0,135.0,4.6499999999999995,3,6,1.5570934256055364,0,1
0,1,1,28.0,0,0,25.925,0,1,1,28.0,25.925,2,1,1.0399257195914577,0,1
0,3,1,28.0,0,0,56.4958,0,1,1,84.0,56.4958,2,1,0.4869920933355132,0,1
0,1,1,61.0,0,0,33.5,0,1,1,61.0,33.5,4,1,1.7681159420289856,0,1
0,3,1,4.0,4,1,29.125,2,6,0,12.0,4.854166666666667,0,6,0.13278008298755187,1,1
1,3,0,1.0,1,1,11.1333,0,3,0,3.0,3.7111,0,3,0.08241780884013418,1,0
0,3,1,21.0,0,0,7.925,0,1,1,63.0,7.925,2,1,2.352941176470588,0,0
0,1,1,56.0,0,0,30.6958,1,1,1,56.0,30.6958,3,1,1.7667956006789545,0,1
0,3,1,18.0,1,1,7.8542,0,3,0,54.0,2.6180666666666665,1,3,2.0329335230737957,0,0
0,3,1,28.0,3,1,25.4667,0,5,0,84.0,5.0933399999999995,2,5,1.057933176406579,0,1
0,1,0,50.0,0,0,28.7125,1,1,1,50.0,28.7125,3,1,1.6827934371055953,0,1
0,2,1,30.0,0,0,13.0,0,1,1,60.0,13.0,2,1,2.142857142857143,0,0
0,3,1,36.0,0,0,0.0,0,1,1,108.0,0.0,3,1,36.0,0,0
0,3,0,28.0,8,2,69.55,0,11,0,84.0,6.322727272727272,2,11,0.39688164422395467,0,1
0,2,1,28.0,0,0,15.05,1,1,1,56.0,15.05,2,1,1.7445482866043613,0,1
0,3,1,9.0,4,2,31.3875,0,7,0,27.0,4.483928571428572,0,7,0.277884986491702,1,1
1,2,1,1.0,2,1,39.0,0,4,0,2.0,9.75,0,4,0.025,1,1
1,3,0,4.0,0,2,22.025,0,3,0,12.0,7.341666666666666,0,3,0.17372421281216072,1,1
0,1,1,28.0,0,0,50.0,0,1,1,28.0,50.0,2,1,0.5490196078431373,0,1
1,3,0,28.0,1,0,15.5,2,2,0,84.0,7.75,2,2,1.696969696969697,0,1
1,1,1,45.0,0,0,26.55,0,1,1,45.0,26.55,3,1,1.6333938294010888,0,1
0,3,1,40.0,1,1,15.5,2,3,0,120.0,5.166666666666667,3,3,2.4242424242424243,0,1
0,3,1,36.0,0,0,7.8958,0,1,1,108.0,7.8958,3,1,4.046853571348276,0,0
1,2,0,32.0,0,0,13.0,0,1,1,64.0,13.0,2,1,2.2857142857142856,0,0
0,2,1,19.0,0,0,13.0,0,1,1,38.0,13.0,2,1,1.3571428571428572,0,0
1,3,0,19.0,1,0,7.8542,0,2,0,57.0,3.9271,2,2,2.1458742743556734,0,0
1,2,1,3.0,1,1,26.0,0,3,0,6.0,8.666666666666666,0,3,0.1111111111111111,1,1
1,1,0,44.0,0,0,27.7208,1,1,1,44.0,27.7208,3,1,1.5319907523467313,0,1
1,1,0,58.0,0,0,146.5208,1,1,1,58.0,146.5208,3,1,0.3931648960688933,0,1
0,3,1,28.0,0,0,7.75,2,1,1,84.0,7.75,2,1,3.2,0,0
0,3,1,42.0,0,1,8.4042,0,2,0,126.0,4.2021,3,2,4.466089619531699,0,0
1,3,0,28.0,0,0,7.75,2,1,1,84.0,7.75,2,1,3.2,0,0
0,2,0,24.0,0,0,13.0,0,1,1,48.0,13.0,2,1,1.7142857142857142,0,0
0,3,1,28.0,0,0,9.5,0,1,1,84.0,9.5,2,1,2.6666666666666665,0,0
0,3,1,28.0,8,2,69.55,0,11,0,84.0,6.322727272727272,2,11,0.39688164422395467,0,1
0,3,1,34.0,0,0,6.4958,0,1,1,102.0,6.4958,2,1,4.535873422449905,0,0
0,3,1,45.5,0,0,7.225,1,1,1,136.5,7.225,3,1,5.531914893617022,0,0
1,3,1,18.0,0,0,8.05,0,1,1,54.0,8.05,1,1,1.9889502762430937,0,0
0,3,0,2.0,0,1,10.4625,0,2,0,6.0,5.23125,0,2,0.17448200654307525,1,0
0,3,1,32.0,1,0,15.85,0,2,0,96.0,7.925,2,2,1.8991097922848663,0,1
1,3,1,26.0,0,0,18.7875,1,1,1,78.0,18.7875,2,1,1.31396083385976,0,1
1,3,0,16.0,0,0,7.75,2,1,1,48.0,7.75,1,1,1.8285714285714285,0,0
1,1,1,40.0,0,0,31.0,1,1,1,40.0,31.0,3,1,1.25,0,1
0,3,1,24.0,0,0,7.05,0,1,1,72.0,7.05,2,1,2.981366459627329,0,0
1,2,0,35.0,0,0,21.0,0,1,1,70.0,21.0,2,1,1.5909090909090908,0,1
0,3,1,22.0,0,0,7.25,0,1,1,66.0,7.25,2,1,2.6666666666666665,0,0
0,2,1,30.0,0,0,13.0,0,1,1,60.0,13.0,2,1,2.142857142857143,0,0
0,3,1,28.0,1,0,7.75,2,2,0,84.0,3.875,2,2,3.2,0,0
1,1,0,31.0,1,0,113.275,1,2,0,31.0,56.6375,2,2,0.2712754320717567,0,1
1,3,0,27.0,0,0,7.925,0,1,1,81.0,7.925,2,1,3.0252100840336134,0,0
0,2,1,42.0,1,0,27.0,0,2,0,84.0,13.5,3,2,1.5,0,1
1,1,0,32.0,0,0,76.2917,1,1,1,32.0,76.2917,2,1,0.4140159939553665,0,1
0,2,1,30.0,0,0,10.5,0,1,1,60.0,10.5,2,1,2.608695652173913,0,0
1,3,1,16.0,0,0,8.05,0,1,1,48.0,8.05,1,1,1.7679558011049723,0,0
0,2,1,27.0,0,0,13.0,0,1,1,54.0,13.0,2,1,1.9285714285714286,0,0
0,3,1,51.0,0,0,8.05,0,1,1,153.0,8.05,3,1,5.635359116022099,0,0
0,3,1,28.0,0,0,7.8958,0,1,1,84.0,7.8958,2,1,3.147552777715326,0,0
1,1,1,38.0,1,0,90.0,0,2,0,38.0,45.0,3,2,0.4175824175824176,0,1
0,3,1,22.0,0,0,9.35,0,1,1,66.0,9.35,2,1,2.1256038647342996,0,0
1,2,1,19.0,0,0,10.5,0,1,1,38.0,10.5,2,1,1.6521739130434783,0,0
0,3,1,20.5,0,0,7.25,0,1,1,61.5,7.25,2,1,2.484848484848485,0,0
0,2,1,18.0,0,0,13.0,0,1,1,36.0,13.0,1,1,1.2857142857142858,0,0
0,3,0,28.0,3,1,25.4667,0,5,0,84.0,5.0933399999999995,2,5,1.057933176406579,0,1
1,1,0,35.0,1,0,83.475,0,2,0,35.0,41.7375,2,2,0.4143237644273454,0,1
0,3,1,29.0,0,0,7.775,0,1,1,87.0,7.775,2,1,3.304843304843305,0,0
0,2,1,59.0,0,0,13.5,0,1,1,118.0,13.5,3,1,4.068965517241379,0,0
1,3,0,5.0,4,2,31.3875,0,7,0,15.0,4.483928571428572,0,7,0.15438054805094556,1,1
0,2,1,24.0,0,0,10.5,0,1,1,48.0,10.5,2,1,2.0869565217391304,0,0
0,3,0,28.0,0,0,7.55,0,1,1,84.0,7.55,2,1,3.2748538011695905,0,0
0,2,1,44.0,1,0,26.0,0,2,0,88.0,13.0,3,2,1.6296296296296295,0,1
1,2,0,8.0,0,2,26.25,0,3,0,16.0,8.75,0,3,0.29357798165137616,1,1
0,2,1,19.0,0,0,10.5,0,1,1,38.0,10.5,2,1,1.6521739130434783,0,0
0,2,1,33.0,0,0,12.275,0,1,1,66.0,12.275,2,1,2.485875706214689,0,0
0,3,0,28.0,1,0,14.4542,1,2,0,84.0,7.2271,2,2,1.8118052050575248,0,0
1,3,0,28.0,1,0,15.5,2,2,0,84.0,7.75,2,2,1.696969696969697,0,1
0,2,1,29.0,0,0,10.5,0,1,1,58.0,10.5,2,1,2.5217391304347827,0,0
0,3,1,22.0,0,0,7.125,0,1,1,66.0,7.125,2,1,2.707692307692308,0,0
0,3,1,30.0,0,0,7.225,1,1,1,90.0,7.225,2,1,3.6474164133738602,0,0
0,1,1,44.0,2,0,90.0,2,3,0,44.0,30.0,3,3,0.4835164835164835,0,1
0,3,0,25.0,0,0,7.775,0,1,1,75.0,7.775,2,1,2.849002849002849,0,0
1,2,0,24.0,0,2,14.5,0,3,0,48.0,4.833333333333333,2,3,1.5483870967741935,0,1
1,1,1,37.0,1,1,52.5542,0,3,0,37.0,17.518066666666666,3,3,0.6908888565229244,0,1
0,2,1,54.0,1,0,26.0,0,2,0,108.0,13.0,3,2,2.0,0,1
0,3,1,28.0,0,0,7.25,0,1,1,84.0,7.25,2,1,3.393939393939394,0,0
0,3,0,29.0,1,1,10.4625,0,3,0,87.0,3.4875000000000003,2,3,2.529989094874591,0,0
0,1,1,62.0,0,0,26.55,0,1,1,62.0,26.55,4,1,2.2504537205081667,0,1
0,3,1,30.0,1,0,16.1,0,2,0,90.0,8.05,2,2,1.7543859649122806,0,1
0,3,0,41.0,0,2,20.2125,0,3,0,123.0,6.7375,3,3,1.9328226281673542,0,1
1,3,0,29.0,0,2,15.2458,1,3,0,87.0,5.081933333333333,2,3,1.785076758300607,0,1
1,1,0,28.0,0,0,79.2,1,1,1,28.0,79.2,2,1,0.34912718204488774,0,1
1,1,0,30.0,0,0,86.5,0,1,1,30.0,86.5,2,1,0.34285714285714286,0,1
1,1,0,35.0,0,0,512.3292,1,1,1,35.0,512.3292,2,1,0.0681823671826968,0,1
1,2,0,50.0,0,1,26.0,0,2,0,100.0,13.0,3,2,1.8518518518518519,0,1
0,3,1,28.0,0,0,7.75,2,1,1,84.0,7.75,2,1,3.2,0,0
1,3,1,3.0,4,2,31.3875,0,7,0,9.0,4.483928571428572,0,7,0.09262832883056735,1,1
0,1,1,52.0,1,1,79.65,0,3,0,52.0,26.55,3,3,0.6447613143211407,0,1
0,1,1,40.0,0,0,0.0,0,1,1,40.0,0.0,3,1,40.0,0,0
0,3,0,28.0,0,0,7.75,2,1,1,84.0,7.75,2,1,3.2,0,0
0,2,1,36.0,0,0,10.5,0,1,1,72.0,10.5,3,1,3.130434782608696,0,0
0,3,1,16.0,4,1,39.6875,0,6,0,48.0,6.614583333333333,1,6,0.3932411674347158,0,1
1,3,1,25.0,1,0,7.775,0,2,0,75.0,3.8875,2,2,2.849002849002849,0,0
1,1,0,58.0,0,1,153.4625,0,2,0,58.0,76.73125,3,2,0.37549567047017884,0,1
1,1,0,35.0,0,0,135.6333,0,1,1,35.0,135.6333,2,1,0.25616010152722657,0,1
0,1,1,28.0,0,0,31.0,0,1,1,28.0,31.0,2,1,0.875,0,1
1,3,1,25.0,0,0,0.0,0,1,1,75.0,0.0,2,1,25.0,0,0
1,2,0,41.0,0,1,19.5,0,2,0,82.0,9.75,3,2,2.0,0,1
0,1,1,37.0,0,1,29.7,1,2,0,37.0,14.85,3,2,1.205211726384365,0,1
1,3,0,28.0,0,0,7.75,2,1,1,84.0,7.75,2,1,3.2,0,0
1,1,0,63.0,1,0,77.9583,0,2,0,63.0,38.97915,4,2,0.79788951889795,0,1
0,3,0,45.0,0,0,7.75,0,1,1,135.0,7.75,3,1,5.142857142857143,0,0
0,2,1,28.0,0,0,0.0,0,1,1,56.0,0.0,2,1,28.0,0,0
